02-31-2016  0.00
02-31-2015  0.00
12-4-174 m 465.12
12-4-175 m 392.35
12-4-176 m 0.00
12-4-177 m3 906.62
12-4-178 m3 655.29
12-4-179 m3 519.03
12-4-180 m3 434.06
2-4-181 m2 1040.20
12-4-182 m2 778.12
12-4-183 m2 627.18
12-4-184 m2 534.16
12-4-18512 m3 2912.34
12-4-18712 m3 2565.51
12-4-189 m3 2246.39
12-4-190 m3 2020.32
12-4-191 m2 2592.57
12-4-192 m2 2294.59
12-4-193 m2 2008.94
12-4-194 m2 1817.22
12-4-195 m2 0.00
12-4-196 m2 0.00
12-4-198 m3 3557.65
12-4-200 m3 3143.10
12-4-201 m3 2834.61
12-4-202 m3 2507.29
12-4-20312 m2 2712.10
12-4-205 m2 2099.97
12-4-206 m2 2581.09
12-4-207 m2 2283.94
12-4-208 m2 2000.74
12-4-209 m3 530.77
12-4-210 m3 349.73
12-4-212 m3 337.33
12-4-213 m3 325.35
12-4-214 m 0.00
12-4-215 m 0.00
12-4-217 m3 2623.63
12-4-218 m3 2031.07
12-4-219 m3 2637.96
12-4-220 m3 2043.87
12-4-221 m3 0.00
12-4-222 m3 0.00
12-4-223 m1 2348.95
12-4-224 m1 1823.34
12-4-22512 m1 2555.36
4-22612-4 m1 2271.26
12-4-228 m1 1990.58
12-4-229 m3 3369.99
12-4-230 m3 2992.20
12-4-231 m3 2615.80
12-4-232 m3 2387.20
12-4-233 m3 2089.45
12-4-234 m3 0.00
12-4-239 m3 0.00
12-4-240 m3 0.00
12-4-23512 m3 0.00
4-23612-4 m3 0.00
12-4-241 m3 869.52
12-4-242 m3 848.39
12-4-243 m3 801.87
12-4-244 m3 944.69
12-4-245 m 0.00
12-4-246 m 0.00
12-4-247 m 0.00
12-4-248 m 0.00
12-4-240 m 0.00
12-4-250 m3 1570.46
12-4-25112 m3 1374.97
12-4-253 m3 1556.80
12-4-254 m3 1287.96
12-4-255 m3 1017.10
12-4-25712  73.39
12-4-261  637.80
12-4-262 m2 636.55
12-4-263 m2 500.40
12-4-264 m2 380.31
12-4-265 1个口 38.72
12-4-266 1个口 40.53
12-4-267 1个口 42.44
12-4-268 1个口 40.68
12-4-269 1个口 42.70
12-4-270 1个口 43.86
12-4-271 1个口 47.33
12-4-272 1个口 49.64
12-4-27312 1个口 52.06
12-4-275 1个口 50.47
12-4-276 1个口 53.68
12-4-277 1个口 55.57
12-4-278 1个口 59.43
12-4-279 1个口 63.08
12-4-281 10m2 526.17
12-4-282 10m2 593.26
12-4-283 10m2 701.97
12-4-284 10m2 0.00
12-4-285 10m2 0.00
12-4-286 10m2 0.00
12-4-288 10m2 1121.95
12-4-289 10m2 1281.41
12-4-290 10m2 1464.27
12-4-291 10m2 1616.32
12-4-292 10m2 0.00
12-4-293 10m2 0.00
12-4-295 10m2 0.00
12-4-296 m3 887.85
12-4-297 m3 458.75
12-4-298 m3 339.42
12-4-299 m3 0.00
12-4-300 m2 552.40
12-4-301 m2 415.85
12-4-302 m2 297.55
12-4-303 m2 229.48
12-4-306 m2 412.58
12-4-308 m: 0.00
12-4-309 m: 0.00
12-4-310 m: 0.00
12-4-311 m: 0.00
12-4-312 m3 321.86
12-4-313 m3 246.33
12-4-315 m3 192.63
12-4-317 m2 944.23
12-4-318 m2 675.12
12-4-319 m2 531.41
12-4-320 m3 1023.52
12-4-321 m3 747.76
12-4-322 m3 598.50
12-4-323 m3 505.97
12-4-324 m1 1131.46
12-4-325 m1 843.96
12-4-326 m1 679.51
12-4-327 m1 0.00
12-4-328 10个 191.36
12-4-329 10个 406.13
12-4-330 10个 1094.49
12-4-331 10个 2236.08
12-4-332 10个 2843.33
12-4-333 10个 100.39
12-4-334 10个 412.03
12-4-335 10个 445.19
12-4-336 10个 733.91
12-4-337 10个 971.34
12-4-338 m3 0.00
12-4-339 m3 0.00
12-4-340 m3 0.00
12-4-341 m 0.00
12-4-343 m 0.00
12-4-343 m 0.00
12-4-344 m3 948.95
12-4-345 m3 825.52
12-4-346 m3 701.65
12-4-347 m3 620.90
12-4-348 m3 509.80
12-4-354 m 0.00
12-4-34912 m 0.00
4-35012-4 m 0.00
12-4-352 m 0.00
12-4-353 m 0.00
12-4-355 10个 182.84
12-4-356 10个 397.44
12-4-357 10个 1034.27
12-4-359 10个 1626.40
12-4-361 10个 387.73
12-4-363 10个 438.44
12-4-364 10个 557.86
12-4-365 m3 3313.60
12-4-366 m3 2046.39
12-4-367 m3 1190.30
12-4-368 m3 798.62
12-4-369 m2 1587.41
12-4-370 m2 24.28
12-4-371 m2 608.92
12-4-372 m2 0.00
12-4-373 m3 587.07
12-4-374 m3 511.98
12-4-375 m3 502.33
12-4-376 m3 432.07
12-4-377 m2 1035.02
12-4-378 m3 0.00
12-4-379 m3 0.00
12-4-380 10m2 66.22
12-4-381 10m2 58.16
12-4-382 10m2 66.22
12-4-383 10m2 58.16
12-4-384 10m2 66.22
12-4-385 10m2 58.16
12-4-386 10m2 80.01
12-4-387 10m2 80.01
12-4-388 10m 176.60
12-4-389 10m 135.82
12-4-390 10m 361.70
12-4-391 10m 331.66
12-4-392 10m 0.00
12-4-393 10m2 203.08
12-4-394 10m2 387.28
12-4-395 10m2 500.83
12-4-396 10m2 692.29
12-4-397 10m2 772.24
12-4-39 10m 133.82
12-4-403 10m2 447.19
12-4-404 10m2 418.32
12-4-405 10m2 0.00
12-4-406 10m2 510.02
12-4-407 10m2 482.93
12-4-409 10m2 496.50
12-4-410 10m2 510.15
12-4-411 10m2 0.00
12-4-412 10m2 1197.01
